issue_id,instance_id,project_key,summary,description,created_at,resolved_at,priority,issue_type,component
ISSUE-1,apache-jira,PRJ1,Frontend issue 0,ui browser css javascript form layout case 0 stack ERR_1 version v1.0,2025-01-01T08:00:00Z,2025-01-01T16:00:00+00:00,low,bug,Frontend
ISSUE-2,apache-jira,PRJ1,Frontend issue 1,ui browser css javascript form layout case 1 stack ERR_2 version v1.1,2025-01-02T09:00:00Z,2025-01-02T23:00:00+00:00,medium,task,Frontend
ISSUE-3,apache-jira,PRJ1,Frontend issue 2,ui browser css javascript form layout case 2 stack ERR_3 version v1.2,2025-01-03T10:00:00Z,2025-01-04T06:00:00+00:00,high,incident,Frontend
ISSUE-4,apache-jira,PRJ1,Frontend issue 3,ui browser css javascript form layout case 3 stack ERR_4 version v1.0,2025-01-04T11:00:00Z,2025-01-05T13:00:00+00:00,critical,story,Frontend
ISSUE-5,apache-jira,PRJ1,Frontend issue 4,ui browser css javascript form layout case 4 stack ERR_5 version v1.1,2025-01-05T12:00:00Z,2025-01-05T20:00:00+00:00,low,bug,Frontend
ISSUE-6,apache-jira,PRJ1,Frontend issue 5,ui browser css javascript form layout case 5 stack ERR_6 version v1.2,2025-01-06T08:00:00Z,2025-01-06T22:00:00+00:00,medium,task,Frontend
ISSUE-7,apache-jira,PRJ1,Frontend issue 6,ui browser css javascript form layout case 6 stack ERR_7 version v1.0,2025-01-01T09:00:00Z,2025-01-02T05:00:00+00:00,high,incident,Frontend
ISSUE-8,apache-jira,PRJ1,Frontend issue 7,ui browser css javascript form layout case 7 stack ERR_8 version v1.1,2025-01-02T10:00:00Z,2025-01-03T12:00:00+00:00,critical,story,Frontend
ISSUE-9,apache-jira,PRJ1,Frontend issue 8,ui browser css javascript form layout case 8 stack ERR_9 version v1.2,2025-01-03T11:00:00Z,2025-01-03T19:00:00+00:00,low,bug,Frontend
ISSUE-10,apache-jira,PRJ1,Frontend issue 9,ui browser css javascript form layout case 9 stack ERR_10 version v1.0,2025-01-04T12:00:00Z,2025-01-05T02:00:00+00:00,medium,task,Frontend
ISSUE-11,apache-jira,PRJ2,Platform issue 0,api database infra deploy service cluster case 0 stack ERR_11 version v1.0,2025-01-01T08:00:00Z,2025-01-01T18:00:00+00:00,medium,bug,Platform
ISSUE-12,apache-jira,PRJ2,Platform issue 1,api database infra deploy service cluster case 1 stack ERR_12 version v1.1,2025-01-02T09:00:00Z,2025-01-03T01:00:00+00:00,high,task,Platform
ISSUE-13,apache-jira,PRJ2,Platform issue 2,api database infra deploy service cluster case 2 stack ERR_13 version v1.2,2025-01-03T10:00:00Z,2025-01-04T08:00:00+00:00,critical,incident,Platform
ISSUE-14,apache-jira,PRJ2,Platform issue 3,api database infra deploy service cluster case 3 stack ERR_14 version v1.0,2025-01-04T11:00:00Z,2025-01-05T15:00:00+00:00,low,story,Platform
ISSUE-15,apache-jira,PRJ2,Platform issue 4,api database infra deploy service cluster case 4 stack ERR_15 version v1.1,2025-01-05T12:00:00Z,2025-01-05T22:00:00+00:00,medium,bug,Platform
ISSUE-16,apache-jira,PRJ2,Platform issue 5,api database infra deploy service cluster case 5 stack ERR_16 version v1.2,2025-01-06T08:00:00Z,2025-01-07T00:00:00+00:00,high,task,Platform
ISSUE-17,apache-jira,PRJ2,Platform issue 6,api database infra deploy service cluster case 6 stack ERR_17 version v1.0,2025-01-01T09:00:00Z,2025-01-02T07:00:00+00:00,critical,incident,Platform
ISSUE-18,apache-jira,PRJ2,Platform issue 7,api database infra deploy service cluster case 7 stack ERR_18 version v1.1,2025-01-02T10:00:00Z,2025-01-03T14:00:00+00:00,low,story,Platform
ISSUE-19,apache-jira,PRJ2,Platform issue 8,api database infra deploy service cluster case 8 stack ERR_19 version v1.2,2025-01-03T11:00:00Z,2025-01-03T21:00:00+00:00,medium,bug,Platform
ISSUE-20,apache-jira,PRJ2,Platform issue 9,api database infra deploy service cluster case 9 stack ERR_20 version v1.0,2025-01-04T12:00:00Z,2025-01-05T04:00:00+00:00,high,task,Platform
ISSUE-21,apache-jira,PRJ3,Billing issue 0,invoice refund payment tax amount checkout case 0 stack ERR_21 version v1.0,2025-01-01T08:00:00Z,2025-01-01T20:00:00+00:00,high,bug,Billing
ISSUE-22,apache-jira,PRJ3,Billing issue 1,invoice refund payment tax amount checkout case 1 stack ERR_22 version v1.1,2025-01-02T09:00:00Z,2025-01-03T03:00:00+00:00,critical,task,Billing
ISSUE-23,apache-jira,PRJ3,Billing issue 2,invoice refund payment tax amount checkout case 2 stack ERR_23 version v1.2,2025-01-03T10:00:00Z,2025-01-04T10:00:00+00:00,low,incident,Billing
ISSUE-24,apache-jira,PRJ3,Billing issue 3,invoice refund payment tax amount checkout case 3 stack ERR_24 version v1.0,2025-01-04T11:00:00Z,2025-01-05T17:00:00+00:00,medium,story,Billing
ISSUE-25,apache-jira,PRJ3,Billing issue 4,invoice refund payment tax amount checkout case 4 stack ERR_25 version v1.1,2025-01-05T12:00:00Z,2025-01-06T00:00:00+00:00,high,bug,Billing
ISSUE-26,apache-jira,PRJ3,Billing issue 5,invoice refund payment tax amount checkout case 5 stack ERR_26 version v1.2,2025-01-06T08:00:00Z,2025-01-07T02:00:00+00:00,critical,task,Billing
ISSUE-27,apache-jira,PRJ3,Billing issue 6,invoice refund payment tax amount checkout case 6 stack ERR_27 version v1.0,2025-01-01T09:00:00Z,2025-01-02T09:00:00+00:00,low,incident,Billing
ISSUE-28,apache-jira,PRJ3,Billing issue 7,invoice refund payment tax amount checkout case 7 stack ERR_28 version v1.1,2025-01-02T10:00:00Z,2025-01-03T16:00:00+00:00,medium,story,Billing
ISSUE-29,apache-jira,PRJ3,Billing issue 8,invoice refund payment tax amount checkout case 8 stack ERR_29 version v1.2,2025-01-03T11:00:00Z,2025-01-03T23:00:00+00:00,high,bug,Billing
ISSUE-30,apache-jira,PRJ3,Billing issue 9,invoice refund payment tax amount checkout case 9 stack ERR_30 version v1.0,2025-01-04T12:00:00Z,2025-01-05T06:00:00+00:00,critical,task,Billing
ISSUE-31,apache-jira,PRJ4,Security issue 0,auth token login audit permission access case 0 stack ERR_31 version v1.0,2025-01-01T08:00:00Z,2025-01-01T22:00:00+00:00,critical,bug,Security
ISSUE-32,apache-jira,PRJ4,Security issue 1,auth token login audit permission access case 1 stack ERR_32 version v1.1,2025-01-02T09:00:00Z,2025-01-03T05:00:00+00:00,low,task,Security
ISSUE-33,apache-jira,PRJ4,Security issue 2,auth token login audit permission access case 2 stack ERR_33 version v1.2,2025-01-03T10:00:00Z,2025-01-04T12:00:00+00:00,medium,incident,Security
ISSUE-34,apache-jira,PRJ4,Security issue 3,auth token login audit permission access case 3 stack ERR_34 version v1.0,2025-01-04T11:00:00Z,2025-01-05T19:00:00+00:00,high,story,Security
ISSUE-35,apache-jira,PRJ4,Security issue 4,auth token login audit permission access case 4 stack ERR_35 version v1.1,2025-01-05T12:00:00Z,2025-01-06T02:00:00+00:00,critical,bug,Security
ISSUE-36,apache-jira,PRJ4,Security issue 5,auth token login audit permission access case 5 stack ERR_36 version v1.2,2025-01-06T08:00:00Z,2025-01-07T04:00:00+00:00,low,task,Security
ISSUE-37,apache-jira,PRJ4,Security issue 6,auth token login audit permission access case 6 stack ERR_37 version v1.0,2025-01-01T09:00:00Z,2025-01-02T11:00:00+00:00,medium,incident,Security
ISSUE-38,apache-jira,PRJ4,Security issue 7,auth token login audit permission access case 7 stack ERR_38 version v1.1,2025-01-02T10:00:00Z,2025-01-03T18:00:00+00:00,high,story,Security
ISSUE-39,apache-jira,PRJ4,Security issue 8,auth token login audit permission access case 8 stack ERR_39 version v1.2,2025-01-03T11:00:00Z,2025-01-04T01:00:00+00:00,critical,bug,Security
ISSUE-40,apache-jira,PRJ4,Security issue 9,auth token login audit permission access case 9 stack ERR_40 version v1.0,2025-01-04T12:00:00Z,2025-01-05T08:00:00+00:00,low,task,Security
